"iter","train_mlogloss_mean","train_mlogloss_std","test_mlogloss_mean","test_mlogloss_std"
1,2.169428,0.000351062198073757,2.17000766666667,0.000253405251515665
2,2.068397,0.000654279756053925,2.069427,0.0003813983037329
3,1.98693333333333,0.000840068383112323,1.98833666666667,0.00058973515720488
4,1.91906666666667,0.000965921091884605,1.92081966666667,0.000783042073352454
5,1.86139933333333,0.00112371773827729,1.863436,0.000893712854709387
6,1.811711,0.00111655929829684,1.81402333333333,0.0011376016681339
7,1.768503,0.00127698629604095,1.77113433333333,0.00118865255169103
8,1.73056666666667,0.00135997459126508,1.73347333333333,0.00130685738387142
9,1.69704933333333,0.00137494735249908,1.70023466666667,0.0014220364114987
10,1.66705366666667,0.00129272073119803,1.6705,0.00165718978987826
11,1.640366,0.00133059861216569,1.64405966666667,0.00174477053576724
12,1.616484,0.00146446326910891,1.62042966666667,0.00169020912589926
13,1.595061,0.00151285315436659,1.59924966666667,0.00176866094986168
14,1.57571233333333,0.00146946256221096,1.58014366666667,0.00188618244672482
15,1.55822233333333,0.00147657584371073,1.56289,0.00197540594989063
16,1.542482,0.00146283104519816,1.547383,0.00207889265404162
17,1.52803366666667,0.00148936324948824,1.533145,0.0021610557605557
18,1.514959,0.00139835212553398,1.52030466666667,0.00229805154185846
19,1.503121,0.00147617094761263,1.508696,0.00229070178467965
20,1.49235033333333,0.00144552673993684,1.49815033333333,0.00237478368606865
21,1.482486,0.00147716485211686,1.488481,0.00240654122478539
22,1.473555,0.00146456296101293,1.47974633333333,0.00247412709623149
23,1.46533533333333,0.00148355121987226,1.471727,0.00251787330899857
24,1.45785133333333,0.00146478037791845,1.464435,0.00259906149731683
25,1.45098033333333,0.00145339724647898,1.45777,0.0026642751360197
26,1.44463366666667,0.00152803170406656,1.45163933333333,0.00262747208464243
27,1.43882666666667,0.00149954089266635,1.44604233333333,0.00269950987315533
28,1.433413,0.00152448832940511,1.44083266666667,0.00271200495736517
29,1.42850033333333,0.00152715123327657,1.43610966666667,0.00276255948143951
30,1.42393666666667,0.00155980262279859,1.43175533333333,0.00278248921333993
31,1.419726,0.00158178317080827,1.42774266666667,0.00282594247801018
32,1.415828,0.00160029184851306,1.42404033333333,0.00285884059635255
33,1.41226233333333,0.00163461765825511,1.420669,0.00288801327334439
34,1.408885,0.0016180712799023,1.41747966666667,0.00294524309502473
35,1.405826,0.00165112103328235,1.41461,0.00295182327845072
36,1.402985,0.00159336059950386,1.41196433333333,0.00305133111207451
37,1.40032933333333,0.00159569427592605,1.409497,0.00309259772145928
38,1.39781966666667,0.00162616242185793,1.40719,0.00311386448006231
39,1.395578,0.00164226449361124,1.405148,0.00313154668921933
40,1.39340933333333,0.00164876243156038,1.40318133333333,0.00316936442975967
41,1.391438,0.00164994080712745,1.40141966666667,0.00318623553566035
42,1.389603,0.0016083755781494,1.399766,0.00326195370900823
43,1.38785433333333,0.00167818499846561,1.39820566666667,0.00322779701270443
44,1.386257,0.00167003852244825,1.39680433333333,0.0032557667129121
45,1.38474066666667,0.00166107120738008,1.395486,0.00328723663076202
46,1.383269,0.00168287987281852,1.394217,0.00328039337070214
47,1.38195633333333,0.00171750387357086,1.393086,0.00326996309864332
48,1.380722,0.00171615694695812,1.392031,0.00328436934583543
49,1.37953033333333,0.00173699382721844,1.39104,0.0032972618943469
50,1.37842733333333,0.00172784535053005,1.39012233333333,0.00333316889595469
51,1.377423,0.00171387533575881,1.38930133333333,0.00335737609189972
52,1.37645666666667,0.00171770589900526,1.38852733333333,0.00338453308778149
53,1.37557533333333,0.00171835780774575,1.38783233333333,0.00339537394437665
54,1.37473,0.00176132582642838,1.38717066666667,0.00338121697353466
55,1.373922,0.00176484390239666,1.38655533333333,0.00339866074929538
56,1.37318366666667,0.00175838796133418,1.38601166666667,0.00343099036560327
57,1.37249633333333,0.0017299374426302,1.385484,0.00346150497137532
58,1.371819,0.00177234778381104,1.38498566666667,0.00344837085526341
59,1.37122866666667,0.001755629105334,1.38456366666667,0.0034751988272599
60,1.37065533333333,0.00176636016209194,1.38416266666667,0.00348658824002285
61,1.37010366666667,0.00176019058319806,1.38377433333333,0.00350667195815607
62,1.36959533333333,0.0017475778158748,1.38343533333333,0.00352283884892344
63,1.369119,0.00176297986377665,1.38312233333333,0.00354209846778187
64,1.368657,0.00176790044965104,1.38282133333333,0.00355374294077449
65,1.36821433333333,0.00178297622588944,1.38254033333333,0.00356995950804355
66,1.36777566666667,0.00181888066922613,1.38227366666667,0.003556309916534
67,1.367372,0.00181909996055913,1.38203666666667,0.00357654696907386
68,1.366981,0.00183356210692387,1.381803,0.00359102241708471
69,1.366597,0.00184136489229817,1.38158766666667,0.00358531080320641
70,1.366241,0.00185670101700005,1.38138766666667,0.00358611157413612
71,1.36591633333333,0.00185731209612321,1.38121433333333,0.00359498255289928
72,1.36558333333333,0.0018577700490798,1.38103833333333,0.00359733663824704
73,1.36528533333333,0.00184485127367051,1.380891,0.00361411519828155
74,1.364987,0.00185321396501436,1.380732,0.0036092961455741
75,1.36469766666667,0.00184413599167449,1.38059266666667,0.00361814550411561
76,1.36444366666667,0.0018255527625864,1.38047666666667,0.00363967693928748
77,1.36419933333333,0.00183222457388303,1.380372,0.00363237690776634
78,1.36394466666667,0.00183679436938881,1.380261,0.00363851590625648
79,1.36370266666667,0.00181648090788083,1.380163,0.00365881519982646
80,1.36347566666667,0.0018248752164049,1.380072,0.00365577980738844
81,1.36326733333333,0.00183343508798766,1.379995,0.00365579457843549
82,1.363042,0.00181031433743145,1.379912,0.00367996150339746
